Package Name                                                                                           | Version          | ID  | Bundle Name
org.apache.xmlbeans.impl.schema                                                                        | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.soap                                                                          | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.store                                                                         | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.tool                                                                          | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.util                                                                          | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.validator                                                                     | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.values                                                                        | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.xb.ltgfmt.impl                                                                | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.xb.ltgfmt                                                                     | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.xb.substwsdl.impl                                                             | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.xb.substwsdl                                                                  | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.xb.xmlconfig.impl                                                             | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.xb.xmlconfig                                                                  | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.xb.xmlschema.impl                                                             | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
org.apache.xmlbeans.impl.xb.xmlschema                                                                  | 2.4.0            | 48  | org.apache.servicemix.bundles.xmlbeans
